age,gender,city,income
44,М,Казань,34985.21
36,Ж,СПб,38270.06
44,Ж,СПб,42032.14
67,М,СПб,129513.64
21,М,Москва,51047.62
69,Ж,Москва,27367.03
41,М,СПб,53508.68
58,Ж,Казань,31422.11
40,М,Москва,29854.77
34,М,СПб,52231.47
58,Ж,Москва,36769.88
53,Ж,Новосиб,40596.23
25,Ж,СПб,36519.22
54,Ж,Екб,41549.19
57,Ж,Новосиб,43044.35
38,Ж,Екб,16734.26
66,Ж,Екб,47411.93
51,М,Новосиб,24518.72
35,Ж,Казань,20395.72
18,М,Новосиб,35476.84
53,Ж,Казань,37556.15
28,М,Казань,27518.05
57,М,Новосиб,50635.73
45,Ж,Екб,21229.14
42,Ж,СПб,30860.2
26,Ж,Казань,28740.15
54,М,Екб,35645.03
26,Ж,Казань,40600.91
39,Ж,СПб,24266.28
61,М,Екб,48519.11
65,М,Новосиб,37242.32
69,М,Москва,17038.34
67,М,Москва,16590.13
46,Ж,Новосиб,36136.99
28,Ж,СПб,33243.45
61,М,Москва,34843.85
59,Ж,Новосиб,35911.29
69,Ж,Екб,39744.39
51,М,СПб,53053.7
25,Ж,Казань,23284.85
44,М,Екб,22724.78
41,Ж,Новосиб,23451.05
61,Ж,Казань,40764.49
38,М,Новосиб,59753.26
35,М,Москва,30560.52
22,Ж,Москва,13350.65
61,М,Казань,18368.69
57,Ж,Казань,26024.28
20,Ж,Екб,29053.91
40,Ж,Москва,30842.37
42,Ж,СПб,36880.29
42,М,Москва,32057.98
65,М,Москва,55256.2
25,М,СПб,27711.23
33,М,Новосиб,25721.25
27,М,Москва,43982.64
30,Ж,Казань,19648.24
65,М,Новосиб,42441.28
66,Ж,СПб,37836.19
20,Ж,Новосиб,34235.66
50,Ж,Екб,68549.44
30,Ж,СПб,28314.15
28,М,Москва,82794.69
33,Ж,Москва,33184.14
28,М,Казань,21789.72
43,М,Москва,37345.5
69,Ж,Екб,23611.8
48,М,СПб,26884.3
55,М,Екб,42566.09
43,М,Москва,45353.06
18,Ж,Казань,28314.6
22,М,Екб,53904.11
31,М,Новосиб,57699.46
30,М,СПб,64506.46
61,Ж,Казань,44880.8
61,М,СПб,62653.29
62,М,Новосиб,17114.49
51,М,СПб,31979.09
46,Ж,СПб,25673.07
51,Ж,Новосиб,38089.36
39,Ж,Москва,28894.9
52,М,Москва,33980.32
59,М,СПб,77100.88
57,Ж,Москва,33931.94
49,Ж,Новосиб,42852.4
21,Ж,Казань,33093.5
55,М,Москва,37432.15
37,М,Москва,36403.01
56,Ж,Москва,43448.41
46,Ж,Новосиб,57879.76
63,М,СПб,70189.75
35,Ж,Новосиб,41103.48
66,Ж,Москва,45973.42
61,М,СПб,22917.46
35,Ж,Новосиб,35061.16
43,М,Новосиб,52897.73
45,М,Новосиб,51348.32
57,Ж,Екб,39523.23
53,Ж,Новосиб,51769.56
62,М,Казань,44192.34
37,Ж,Новосиб,58695.74
